,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
33,Cambodia,KHM,637.1,642.9,660.0,728.6,782.9,868.6,914.3,962.9,1065.7,978.9,718.4,969.9,505.5,702.9,588.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.7,2791.4,3441.2,3506.7,3443.4,3120.4,3517.2,3654.0,3984.0,4284.0,4658.2,5337.8,6293.0,7274.6,8639.2,10351.9,10401.9,11242.3,12829.5,14038.4,15449.6,16777.8,18050.0,20016.7
34,Cameroon,CMR,618.7,657.6,699.4,723.6,782.4,814.1,853.3,934.1,1053.1,1152.4,1160.0,1234.0,1431.0,1758.7,2255.5,2752.8,3076.6,3366.4,4409.9,5811.4,6740.8,7636.3,7322.9,7381.9,7801.9,8148.2,10621.2,12302.5,12493.3,11140.1,11151.6,12434.4,11396.3,15498.2,10600.2,9644.0,10513.4,10833.5,10612.8,11198.4,10083.9,10371.3,11579.3,14548.8,17430.9,17944.1,19356.0,22365.3,26409.8,26017.9,26143.8,29337.0,29104.4,32348.1,34942.9,30916.2,32217.5
35,Canada,CAN,41093.5,40768.0,41978.9,44657.2,48882.9,53909.6,60358.6,64768.8,70759.0,77887.5,87896.1,99272.0,113083.0,131322.0,160409.0,173834.0,206576.0,211612.0,218633.0,243072.0,273854.0,306215.0,313507.0,340548.0,355373.0,364756.0,377438.0,431317.0,507354.0,565056.0,593930.0,610328.0,592388.0,577171.0,578139.0,604032.0,628546.0,652825.0,631813.0,676083.0,742293.0,736380.0,757951.0,892381.0,1023200.0,1169360.0,1315420.0,1464980.0,1549130.0,1371150.0,1613460.0,1788650.0,1824290.0,1842630.0,1792880.0,1552810.0,1529760.0
36,Cayman Islands,CYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Central African Republic,CAF,112.2,123.1,124.5,129.4,142.0,150.6,157.9,163.8,191.8,188.0,189.1,201.5,230.3,271.2,281.4,378.7,451.2,507.3,610.6,700.8,797.0,694.8,748.3,658.7,637.8,864.8,1122.3,1201.0,1264.9,1233.9,1440.7,1377.4,1411.9,1278.8,851.2,1115.4,1007.8,937.7,967.3,999.5,914.5,931.8,991.4,1139.8,1270.1,1350.3,1460.6,1698.1,1985.2,1981.7,1986.0,2212.7,2184.2,1518.6,1702.9,1583.8,1756.1
38,Chad,TCD,313.6,334.0,357.6,371.8,392.2,416.9,432.8,449.8,454.0,471.6,469.3,501.9,585.4,647.2,652.5,864.6,866.0,935.4,1113.9,1004.3,1033.0,876.9,834.4,832.4,919.1,1033.1,1067.8,1163.4,1482.6,1433.7,1738.6,1877.1,1881.8,1463.3,1179.8,1445.9,1607.3,1544.7,1744.8,1534.7,1385.1,1709.3,1987.6,2736.7,4414.9,6646.7,7422.1,8638.7,10351.9,9253.5,10657.7,12156.4,12368.1,12949.9,13922.2,10888.8,9600.8
39,Channel Islands,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5945.7,6262.7,6439.7,6232.9,6663.7,7332.2,8553.6,8827.3,9676.2,11514.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Chile,CHL,4110.0,4609.7,5416.3,5668.2,5982.3,6026.6,7072.6,7013.2,7167.1,8377.1,9126.3,10884.1,11853.8,16836.3,16210.4,7622.2,10341.9,13962.9,15989.9,21803.7,29036.7,34509.9,25325.9,20356.0,19622.5,17702.9,18891.0,22255.4,26040.2,29885.7,33113.9,37834.8,45964.3,49297.8,57008.4,73447.1,78039.6,84952.4,81577.4,75173.8,77860.9,70979.9,69736.8,75643.5,99210.4,122965.0,154788.0,173606.0,179638.0,172389.0,218538.0,252252.0,267122.0,278384.0,260990.0,242518.0,247028.0
41,China,CHN,59716.5,50056.9,47209.4,50706.8,59708.3,70436.3,76720.3,72881.6,70846.5,79705.9,92603.0,99801.0,113688.0,138544.0,144182.0,163432.0,153940.0,174938.0,149541.0,178281.0,191149.0,195866.0,205090.0,230687.0,259947.0,309488.0,300758.0,272973.0,312354.0,347768.0,360858.0,383373.0,426916.0,444731.0,564325.0,734548.0,863747.0,961604.0,1029040.0,1094000.0,1211350.0,1339400.0,1470550.0,1660290.0,1955350.0,2285970.0,2752130.0,3552180.0,4598210.0,5109950.0,6100620.0,7572550.0,8560550.0,9607220.0,10482400.0,11064700.0,11199100.0
42,Colombia,COL,4040.9,4552.9,4968.6,4838.8,5992.2,5790.2,5452.8,5727.2,5918.5,6405.4,7198.4,7820.4,8671.4,10315.8,12370.0,13098.6,15341.4,19471.0,23263.5,27940.4,33400.7,36388.4,38968.0,38729.8,38253.1,34894.4,34942.5,36373.3,39212.6,39540.1,40274.2,41239.6,49279.6,55802.5,81703.5,92507.3,97160.1,106660.0,98443.7,86186.2,99886.6,98203.5,97933.4,94684.6,117075.0,146566.0,162590.0,207416.0,243982.0,233822.0,287018.0,335415.0,369660.0,380192.0,378196.0,291520.0,282463.0
